image,category,response,correct,RT,IT,MT,block,trial,pressure,mapping,block_start_global,trial_start_global,fixation_onset_global,stim_onset_global,movement_start_global,response_time_global,timeout_time_global
Living_Things\Birds\toucan.jpg,living,left,1,1.3441745000018273,0.015381500008516014,1.3287929999933112,1,26,normal,left,26.49368830001913,66.04546439999831,66.06785730001866,66.50975980001385,66.51802489999682,67.83529440002167,
Living_Things\Trees\eucalyptus.jpg,living,left,1,1.1853830000036396,0.011551900010090321,1.1738310999935493,1,27,normal,left,26.49368830001913,67.84679300000425,67.86799900000915,68.31587360001868,68.3218765000056,69.48533480000333,
Nonliving_Things\Clothing\biretta.jpg,nonliving,right,1,1.0844061000098009,0.02337080001598224,1.0610352999938186,1,28,normal,left,26.49368830001913,69.49568620001082,69.51794230000814,69.96969910000917,69.98522530001355,71.03558690001955,
Living_Things\Insects\ant.jpg,living,left,1,1.5435829999914858,0.09980599998380058,1.4437770000076853,1,29,normal,left,26.49368830001913,71.04620420001447,71.06801170000108,71.50854880001862,71.6018333999964,73.03510330000427,
Nonliving_Things\Buildings\skyscraper.jpg,nonliving,right,1,1.2577206999994814,0.013297800003783777,1.2444228999956977,1,30,normal,left,26.49368830001913,73.04559680001694,73.06792870000936,73.51040369999828,73.51817230001325,74.75219480000669,
Living_Things\Animals\cow.jpg,living,left,1,0.9269442000077106,0.44943550002062693,0.4775086999870837,2,1,pressure,left,76.63962230001925,76.6396320000058,77.93482680001762,78.3753177000035,78.81863720002002,79.28524530000868,
Living_Things\Flowers\araceae.jpg,living,right,0,0.8270863000070676,0.01594039998599328,0.8111459000210743,2,2,pressure,left,76.63962230001925,79.29610790000879,79.31816150000668,79.75896649999777,79.76819470000919,80.56894490000559,
Nonliving_Things\Musical_Inst\balalaika.jpg,nonliving,left,0,1.0736029999970924,0.012864899996202439,1.06073810000089,2,3,pressure,left,76.63962230001925,80.57930179999676,80.60151290000067,81.04558440000983,81.05192920000991,82.10218040001928,
Nonliving_Things\Clothing\skirt.jpg,nonliving,right,1,0.907394200010458,0.013401600008364767,0.8939926000020932,2,4,pressure,left,76.63962230001925,82.11262920001172,82.13486400002148,82.57879890000913,82.58545589999994,83.46875160001218,
Nonliving_Things\Buildings\tower.jpg,nonliving,right,1,0.8673068000061903,0.05612150000524707,0.8111853000009432,2,5,pressure,left,76.63962230001925,83.47938580001937,83.50171260000207,83.95372119999956,84.0018331000174,84.80228689999785,
Living_Things\Trees\olive_tree.jpg,living,left,1,1.1089427999977488,0.498084499995457,0.6108583000022918,2,6,pressure,left,76.63962230001925,84.81296999999904,84.83496450001257,85.27685920000658,85.76864130000467,86.36899670001003,
Living_Things\Birds\kiwi.jpg,living,left,1,0.7596518000063952,0.014684900001157075,0.7449669000052381,2,7,pressure,left,76.63962230001925,86.37946490000468,86.4020444000198,86.84400050001568,86.85149640002055,87.58555800002068,
Living_Things\Birds\goldfinch.jpg,living,left,1,0.72287390002748,0.011666200007312,0.711207700020168,2,8,pressure,left,76.63962230001925,87.59644600001047,87.6189370000211,88.06207149999682,88.06829590001144,88.76892100000987,
Nonliving_Things\Tools\screw.jpg,nonliving,right,1,1.2736576000170317,0.012907500000437722,1.260750100016594,2,9,pressure,left,76.63962230001925,88.77948040000047,88.80152450001333,89.24542410002323,89.2516468000249,90.50196809999761,
Nonliving_Things\Tools\nut.jpg,nonliving,right,1,0.7940660000022035,0.014519600023049861,0.7795463999791536,2,10,pressure,left,76.63962230001925,90.51237730000867,90.53481930002454,90.97688820000621,90.9851772999973,91.75437530002091,
Living_Things\Animals\crocodile.jpg,living,left,1,0.770577500021318,0.026603100006468594,0.7439744000148494,2,11,pressure,left,76.63962230001925,91.76467740000226,91.78489880001871,92.23098350001965,92.25229610002134,92.98549960000673,
Living_Things\Animals\armadillo.jpg,living,,0,1.5303057000273839,0.013623600010760128,1.5166821000166237,2,12,pressure,left,76.63962230001925,92.99623099999735,93.01832240002113,93.46054840000579,93.4686385000241,,94.7849071000237
Living_Things\Birds\raven.jpg,living,left,1,0.8881119000143372,0.012922399997478351,0.8751895000168588,2,13,pressure,left,76.63962230001925,94.9854024000233,95.95252050002455,96.39830070000608,96.40537040002528,97.26931480001076,
Living_Things\Animals\snake.jpg,living,left,1,0.6483613000018522,0.020012299995869398,0.6283490000059828,2,14,pressure,left,76.63962230001925,97.28052339999704,97.30158600001596,97.73871320000035,97.75209390002419,98.36923070001649,
Living_Things\Flowers\tulip.jpg,living,left,1,0.7602997999929357,0.014812499983236194,0.7454873000096995,2,15,pressure,left,76.63962230001925,98.38041569999768,98.40169040000183,98.84366130002309,98.85172690000036,99.58590710000135,
Nonliving_Things\Furniture\lectern.jpg,nonliving,right,1,0.8233754999819212,0.013395499991020188,0.809979999990901,2,16,pressure,left,76.63962230001925,99.59719240001868,99.61890940001467,100.06146430000081,100.06921010001679,100.8690273000102,
